,CASH_C_EQUIV,TRADING_FA,INT_RECEIV,PUR_RESALE_FA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,INVEST_REAL_ESTATE,FIXED_ASSETS,INTAN_ASSETS,DEFER_TAX_ASSETS,T_ASSETS,LOAN_FR_OTH_BANK_FI,TRADING_FL,SOLD_FOR_REPUR_FA,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,BOND_PAYABLE,DEFER_TAX_LIAB,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,ORDIN_RISK_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,OTH_COMPRE_INCOME,N_CF_FR_INVEST_A,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_IFC,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_FR_ISSUE_BOND,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,IFC_CASH_INCR,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,DILUTED_EPS,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,BASIC_EPS,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,OTH_COMPR_INCOME,T_COMPR_INCOME,INT_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,F_VALUE_CHG_GAIN,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,FOREX_GAIN,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,COMMIS_INCOME,T_COGS,FLAG,NI_NI
10,139095561.4,1408805.9799999997,91079.6459,56755868091.99488,11698815.88,3737821385.1164804,1717608116.193224,114078814.6,29308276.0,427465.2594999999,1797726379.0,43214177260.242905,27801330059.20275,40321744677.36061,5070483.39,29796220.82,13589158.54,78054142631.04854,572800141.6459999,1692575365.0,412500000.0,237850418.6,16210000.68,19407685555.629314,-586299350.5,80261068.73,24889944.68,105151013.4,1797726379.0,19721.921199999986,438315678.6,-801784561.3,3737797950.8210464,925822.6512000001,465608782.8,37854444.04,342808227433.8659,687411397.9,-142810.07340000002,100594260.9,-3387.8687,7568129.96,4153494.8975999993,1620777.1333000008,1489195959.0,643981800.0,27293104.24,97074948466.19418,3439904.677400001,2039613316.732157,464063143.6,37104800.51,137699061.4,27293104.24,1018000000.0,67082025591.21044,75090802.06,553936856.5,1.68,311858255.6184676,71700010.1,71700010.1,693500406.9,1.68,-168488313.8,30153570.38,693636185.4,-5217.871000000006,693500406.9,34657188409.83385,693636185.4,-654433.2976000006,4629.5120000000015,68220918.98,693500406.9,377838.35,117657310.8,-135778.54,370521096.05937654,-984248.1403999999,979646031.5,-135778.54,11684825462.966698,240188323.9,0.0,1.41261060808759
11,132255450.2,8641416.06,3258142.06,56755868091.99488,1056256841.0,2544096832.0,1717608116.193224,109482905.6,52633853.58,13947470.53,4376849274.0,43214177260.242905,27801330059.20275,40321744677.36061,8696175.49,75275319.69,18726461.13,400000000.0,137529558.5,1208842159.0,744359294.0,1160420255.0,100932726.1,19407685555.629314,1049180460.0,3050123289.0,117883826.2,3168007116.0,4376849274.0,54984.7083,-67022322.52,-90632624.62,8000000.0,689371603.6,651189633.1,48532855.54,569804429.0,229903582.0,56180307.01,-137381418.0,-187331.42,74906881.38,2504500.2869,144719139.4,320536206.7,19558214.16,718211955.6,97074948466.19418,185000000.0,54000.0,20460860.6,269636868.2,132255450.2,27840352.01,366180000.0,67082025591.21044,69817637.39,345719139.4,0.42,20284460.62,234645384.8,234645384.8,399609411.5,0.42,398904091.9,30929536.58,304963216.9,-4862349.71,311528679.9,34657188409.83385,309825566.6,492093660.9,538308.0,155933997.6,316391029.7,20244482.27,23629.6,6565463.09,370521096.05937654,83218381.88,728949.22,6565463.09,11684825462.966698,328373261.8,0.0,0.0023039503385768713
12,535232179.9,571229.5619999996,1902360.37,56755868091.99488,342095.795,3737821385.1164804,1717608116.193224,134215531.6,36716705.76,2569567.63,1441918521.0,43214177260.242905,27801330059.20275,40321744677.36061,3631984.94,18950173.69,78210.41159999998,78054142631.04854,2787336.4,177339463.3,217274000.0,704676152.0,34363815.12,19407685555.629314,282827908.9,1240645663.0,23933394.59,1264579058.0,1441918521.0,-111617.45500000003,-134742564.5,54206512.89,3737797950.8210464,10000000.0,28000.0,25666502.86,342808227433.8659,229934845.2,118284.0808,-121346892.6,-39974.1,37165431.28,1997411.3908999995,20770866.91,175728332.3,16630015.02,134770564.5,97074948466.19418,20000000.0,28000.0,-40770866.91,656579072.6,535232179.9,77570587.49,3313884.3925999994,67082025591.21044,40457116.3,40770866.91,0.34,6316389.39,235373677.0,235373677.0,96163558.69,0.34,96056042.15,5124550.81,73378047.84,-31597.10919999997,79398000.09,34657188409.83385,73378047.84,6316389.39,3173.659300000001,102665225.4,79398000.09,2463425.59,43943.46,6019952.25,370521096.05937654,16765558.6,151460.0,6019952.25,11684825462.966698,145634024.3,0.0,0.001907604723397511
13,25283005654.0,15480013494.0,236497346.9,2866430303.0,6417664611.0,4853461425.0,6609796.31,1086957075.0,25459948.69,225455800.4,83859824469.0,1000000000.0,8451815334.0,4358447836.0,2111137470.0,276205677.8,487823724.3,9979672639.0,31297897.47,56675444017.0,4661099829.0,9449176568.0,2025918120.0,3923023233.0,7428911982.0,27159315990.0,25064462.02,27184380452.0,83859824469.0,-328813741.2,-426043111.4,-18417547489.0,17700000.0,318414499.4,174589901.2,1679350334.0,342808227433.8659,17585817333.0,174060706.1,-3276961074.0,-135327797.4,695384820.5,1148609743.0,913372326.4,36003364822.0,1801313913.0,600633012.5,38700000000.0,22900000000.0,2039613316.732157,15701957323.0,33607127776.0,30330166702.0,282218513.1,39537893408.0,6194585116.0,1740202182.0,23835936085.0,0.48,269074572.3,6089160551.0,6089160551.0,2650439681.0,0.48,2659253522.0,4145724.79,2055552428.0,-176537932.2,2060916851.0,838559681.6,2232090360.0,1636471855.0,-97637145.05,3429907029.0,2237454784.0,354047403.7,15270277.75,5364423.13,19134307.78,412984897.5,6456437.27,5364423.13,3680045059.0,3429907029.0,0.0,0.002885616869744081
14,39934686.74,10760.0,105638.32020000005,56755868091.99488,45000.0,82278903.47,2370405.73,5523008.17,837118.4711000003,896275.59,274987416.3,43214177260.242905,27801330059.20275,40321744677.36061,1500323.13,1115018.03,80734.38280000002,78054142631.04854,572800141.6459999,42359510.06,151200000.0,116728278.0,597313.57,19407685555.629314,-79581325.04,188944266.6,43683639.71,232627906.3,274987416.3,-72337.48820000002,41340066.73,-86997618.08,44100000.0,1162284.9869000001,41490136.73,9523318.47,40207481.2,22412801.57,-6684.836899999995,-1557551.35,-2188.7443000000003,965144.11,1539242.9893999994,1196960.5643999993,109410419.7,12023904.57,150070.0,97074948466.19418,7014861.455800001,2039613316.732157,44100000.0,39320857.4,37763306.05,150070.0,44100000.0,67082025591.21044,3637688.94,6903237.396899998,0.018000000000000002,7137870.89,12722138.0,12722138.0,1755128.52,0.018000000000000002,1755053.94,2109018.3,2728021.65,4076.1613999999927,2311661.36,34657188409.83385,2728021.65,7137970.89,1760.0,5953168.83,2311661.36,891970.62,60.42,-416360.29,370521096.05937654,-556532.84,135.0,-416360.29,11684825462.966698,18106814.95,0.0,5.8399557277714766e-05
15,1236600970.0,44788251.42,289149.59,56755868091.99488,2863188020.0,783353111.8,54796570.69,301839984.5,475146534.9,121925873.0,11716648948.0,43214177260.242905,2250051.7,40321744677.36061,303397990.9,293992465.9,46552141.39,78054142631.04854,674785989.3,6606483396.0,505473454.0,2050931111.0,289513325.2,19407685555.629314,1509373618.0,4354545690.0,755619862.2,5110165552.0,11716648948.0,266288.67899999995,312789366.0,-1037895429.0,7112545.0,304923977.2,3374564276.0,330180999.3,773521783.9,12228813489.0,63528572.95,188375703.6,86319.51,316305891.3,29827503.66,367681918.1,13266708917.0,268685191.9,3061774910.0,97074948466.19418,3198529056.0,1373432.34,913395446.8,1022155557.0,1210531261.0,94803997.22,4939973753.0,74438154.56,532756986.1,4026578306.0,1.2,3684678.44,10827754637.0,10827754637.0,951418125.4,1.2,920267524.6,57743010.6,837949474.7,229355887.1,940866871.1,34657188409.83385,608329544.2,815094155.4,-15480731.92,9956028467.0,711510984.0,40853507.17,11937110.36,102917396.4,370521096.05937654,239907141.5,43087711.15,103181439.8,11684825462.966698,10707100536.0,0.0,0.0605580407315258
16,10913217192.0,3566050288.0,830137405.6,2332492064.0,30396060659.0,1349878357.0,1717608116.193224,506739608.3,73178011.06,44649187.82,59012488631.0,3815000000.0,136169700.0,20772125734.0,207798154.0,83255426.5,120351584.9,4399719063.0,89333084.36,43234371469.0,4281742921.0,4114996346.0,1123301739.0,2669565833.0,3372336046.0,15550295497.0,227821664.1,15778117161.0,59012488631.0,-137276.6838,-868152564.8,-4444475288.0,4900000.0,99000000.0,181383065.3,711166870.3,146188543.0,243852907.2,34918190.0,1080356084.0,-14362395.0,255542117.9,1214853451.0,496053668.1,4688328195.0,236443005.1,1049535630.0,13800000000.0,6900000000.0,2039613316.732157,6407346332.0,11607404832.0,12687760917.0,950535630.1,13804900000.0,2337925561.0,1087544815.0,7397553668.0,0.24,123675278.5,3243936742.0,3243936742.0,1134237459.0,0.24,1095586322.0,71828342.85,1228290883.0,220868934.7,1203198438.0,-654494316.8,1007421948.0,2415233531.0,-142224038.5,2148350420.0,982329502.9,144287200.1,3697260.41,-25092445.09,-6444053.77,151907956.1,42348397.31,-25092445.09,1620174934.0,2148350420.0,0.0,0.043110175541893524
17,33083697500.0,5969827300.0,638992900.0,1283837900.0,9790132200.0,19856000.0,1717608116.193224,285215300.0,349250800.0,308203700.0,78284367500.0,290000000.0,27801330059.20275,8898387500.0,1287721700.0,130223400.0,96745700.0,4000000000.0,572800141.6459999,52862701200.0,7537258800.0,4798418300.0,3175283600.0,3925554400.0,6069994500.0,25174827800.0,246838400.0,25421666200.0,78284367500.0,-331681700.0,-6029331200.0,-11002890000.0,6608149200.0,110000000.0,581091400.0,2164307100.0,342808227433.8659,11999743400.0,323789900.0,-6277350700.0,-40511700.0,936790600.0,513825900.0,89144400.0,23002633400.0,868496600.0,6610422600.0,11700000000.0,7718858300.0,7301500.0,10795382200.0,41148480600.0,34871129900.0,108240000.0,18610836200.0,7890610000.0,2287322100.0,7815454000.0,0.31,-334000.0,7482309400.0,7482309400.0,2893018400.0,0.31,2894042400.0,192166100.0,1833736900.0,-301510500.0,1853421300.0,1981819700.0,2135247300.0,826907800.0,-129814800.0,4588267000.0,2154931700.0,392060000.0,9885600.0,19684400.0,-78915200.0,738086700.0,8861600.0,19684400.0,4868279100.0,4588267000.0,0.0,0.004112241701210298
18,63827752000.0,5066287000.0,2141091000.0,11765088000.0,15499731000.0,480534000.0,1717608116.193224,1440496000.0,240833000.0,1132017000.0,340000000000.0,3921488000.0,27801330059.20275,10223328000.0,1044703000.0,725133000.0,4198004000.0,9971837000.0,72439000.0,320000000000.0,1671416000.0,4912692000.0,1836126000.0,3784930000.0,8762627000.0,20547211000.0,65837000.0,20613048000.0,340000000000.0,-420580000.0,-15925188000.0,-17032305000.0,3737797950.8210464,483000000000.0,509000000000.0,1238092000.0,470000000000.0,57153729000.0,2472580000.0,-34864824000.0,-47213000.0,2087467000.0,6456637000.0,861700000.0,74186034000.0,438530000.0,525000000000.0,97074948466.19418,998418000.0,21973000.0,-1860118000.0,74519023000.0,39654199000.0,332852000.0,2303300.2017,15755163000.0,1958131000.0,1860118000.0,1.89,106434000.0,9775287000.0,9775287000.0,4771711000.0,1.89,4746891000.0,1024445000.0,3424067000.0,-364293000.0,3434568000.0,9157682000.0,3788360000.0,-347421000.0,-145075000.0,5028396000.0,3798861000.0,778521000.0,33239000.0,10501000.0,23607000.0,972850000.0,58059000.0,10501000.0,1080368000.0,5028396000.0,0.0,0.015283265168164879
19,16431000000.0,2376000000.0,9849000000.0,1222000000.0,128000000000.0,9404000000.0,1594000000.0,4471000000.0,1512000000.0,1040000000.0,566000000000.0,43214177260.242905,27801330059.20275,52211000000.0,1217000000.0,363000000.0,2607492565.9976993,15000000000.0,572800141.6459999,527000000000.0,3120000000.0,23962000000.0,1458000000.0,1458000000.0,10289000000.0,39312000000.0,6000000.0,39318000000.0,566000000000.0,-975000000.0,-57118000000.0,56205000000.0,3737797950.8210464,205000000000.0,215000000000.0,3740000000.0,132000000000.0,112000000000.0,24246000000.0,-6496000000.0,-58000000.0,1530000000.0,6177000000.0,745000000.0,55490000000.0,375000000.0,272000000000.0,97074948466.19418,193042496771.9876,6000000.0,-5525000000.0,25066000000.0,18570000000.0,1995000000.0,4820000000000.0,67082025591.21044,6163000000.0,4820000000000.0,1.42,364000000.0,130000000000.0,130000000000.0,4959000000.0,1.42,5070000000.0,1310000000.0,3442000000.0,-980000000.0,3444000000.0,34657188409.83385,4422000000.0,26087000000.0,-31000000.0,125000000000.0,4424000000.0,113000000.0,117000000.0,2000000.0,-299000000.0,535000000.0,6000000.0,2000000.0,11684825462.966698,125000000000.0,0.0,0.00135623869801085
